title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Future Made in Australia - Renewable Energy Superpower (Solar Sunshot Program),"<div>As part of the Future Made in Australia plan, the Australian government announced AUD 1 billion in funding for creation of the Solar Sunshot programme, which is to be administered by the Australian Renewable Energy Agency (ARENA). This programme will provide production incentives and grants for the development of solar manufacturing capacity, with a specific focus on former coal communities. <br><br>A total of AUD 835.6 million over 10 years, with an additional AUD 200 million between 2034 and 2036, was allocated to the Solar Sunshot programme in the 2024-2025 budget. </div>",Announced,2024,National,International Energy Agency,2024-05-14,,https://arena.gov.au/funding/solar-sunshot/,,1717158884478,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],"[""Solar PV""]","[""Price crisis response"",""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Development of energy foresight and planning ,"<div>Ecuadors Development of Energy Foresight and Planning is part of the Ministry of Energy and Mining. The project seeks to elaborate energy foresight studies and energy plans that serve as a basis for the development of energy efficiency planning, as well as the need for systematized energy information to drive these purposes. This project aims to develop energy foresight studies such as a National Energy Plan, the National Energy Efficiency Plan, among others.</div>",Announced,2024,National,International Energy Agency,,,,,1750778185712,"[{""iso3"":""ECU"",""name"":""Ecuador""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""People-Centred Clean Energy Transitions"",""family"":""Framework legislation"",""name"":""Universal energy access"",""category"":null},{""topic"":""Economy-wide"",""family"":""Framework legislation"",""name"":""Master Energy Plan"",""category"":null}]"
Nicaragua - Law on the Promotion of Renewable Electricity Generation (Law No. 532),"<div>The Law on the Promotion of Renewable Electricity Generation (Law No. 532) provides that new projects and expansion projects undertaken by private, public or mixed-ownership entities will benefit from the following incentives: <br>- Exemption from the payment of tariffs and VAT on machinery, equipment, materials and inputs<br>- Exemption from the payment of income tax for up to seven years after the project has started commercial operations<br>- Exemption from current municipal taxes on real estate property, sales and registrations during the project construction<br>- Exemption from stamp duty for 10 years, and exemption from all taxes that may apply to the exploitation of natural resources for five years after the start of operations.</div>",Announced,2021,National,International Energy Agency,2021-07-14,,https://www.mem.gob.ni/?page_id=9105,,1719433952301,"[{""iso3"":""NIC"",""name"":""Nicaragua""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Hong Kong's 25.6 million subsidy to EV maker ,"<div>Hong Kong will provide a subsidy of up to HK$ 200 million ($25.6 million) to China’s Hozon Auto, which could alleviate the financial pressure on the electric vehicle startup and facilitate its expansion in overseas markets. In addition to providing a $25.6 million subsidy, the Hong Kong government will also help with a $200 million cornerstone investment for Shanghai-based Hozon.</div>",Announced,2024,State/Provincial,International Energy Agency,2024-03-24,,https://mp.weixin.qq.com/s/sg8UQE_hgI1BPSsbXGUp8A?poc_token=HNu3aWajJRtNibyq-W3vaSlpHmrI40tMq8nKoxs2,,1750778186007,"[{""iso3"":""HKG"",""name"":""Hong Kong (China)""}]",[],"[""Small and medium cars""]","[""Government Energy Spending""]","[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in active mobility"",""category"":null}]"
Registration tax (FRT) reduction for EV,"<div>From 2024 to 2026, private electric cars will benefit from registration tax reductions. Electric private cars priced over $500,000, electric commercial vehicles, electric motorcycles, and electric motor tricycles will benefit from an exemption.</div><div><br></div>",Announced,2024,State/Provincial,International Energy Agency,2024-04-01,,https://www.td.gov.hk/en/public_services/licences_and_permits/vehicle_first_registration/new_frt_concessions_for_electric_vehicles_2018/index.html,,1719408333486,"[{""iso3"":""HKG"",""name"":""Hong Kong (China)""}]",[],"[""Battery electric""]","[""Government Energy Spending""]","[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Light-duty vehicles""}]"
Government investment in green economic production capacities,<div>The Hungarian government aims to financially support the development of domestic clean energy technology production capacities.</div>,Announced,2024,National,International Energy Agency,2024-01-01,,https://commission.europa.eu/document/download/9a5f076f-c9d7-4049-aa22-812b92eba994_en?filename=SWD_2023_384_1_EN_autre_document_travail_service_part1_v5.pdf,,1714486294399,"[{""iso3"":""HUN"",""name"":""Hungary""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Nuclear""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Promoting sustainable energy,"<div>The Government of Slovak Republic aims to promote sustainable energy by facilitating efficient development of renewable energy projects, speeding up the issuance of environmental permits, maximising use of geothermal energy and heat pumps. It also aims to establish a knowledge centre for new techniques in best available technologies, development of trajectories for sustainable use of biomass, as well as roadmaps for biomethane and organic fertilisers production and circular bio economy. </div>",Announced,2024,National,International Energy Agency,2024-01-01,,https://commission.europa.eu/document/download/f56cd600-7367-45bb-83ff-4c9ca183d9db_en?filename=SWD_2023_238_1_EN_autre_document_travail_service_part1_v4.pdf,,1750778186408,"[{""iso3"":""SVK"",""name"":""Slovak Republic""}]",[],"[""Geothermal"",""Heat pumps"",""Biofuel""]","[""Government Energy Spending""]","[{""topic"":""People-Centred Clean Energy Transitions"",""family"":""Framework legislation"",""name"":""Youth in decision process"",""category"":null},{""topic"":""People-Centred Clean Energy Transitions"",""family"":""Framework legislation"",""name"":""Public participation"",""category"":null},{""topic"":""Just transitions"",""family"":""Incentives and investments"",""name"":""Government spending in training programmes"",""category"":null}]"
"G7 Climate, Energy and Environment Ministers’ Meeting Communiqué - coal phase-out","<div>In the communiqué steming from the G7 Ministers' meeting in Italy, G7 members commits to phase out existing unabated coal power generation in their energy systems during the first half of 2030s or in a timeline consistent with keeping a limit of 1.5°C temperature rise within reach, in line with countries’ net-zero pathways.</div>",Announced,2024,International,International Energy Agency,2024-04-30,2035,https://www.g7italy.it/wp-content/uploads/G7-Climate-Energy-Environment-Ministerial-Communique_Final.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axiosgenerate&stream=top,,1716294308399,"[{""iso3"":""USA"",""name"":""United States""},{""iso3"":""GBR"",""name"":""United Kingdom""},{""iso3"":""DEU"",""name"":""Germany""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""CAN"",""name"":""Canada""},{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""ITA"",""name"":""Italy""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Future Made in Australia Plan - Reform of approvals processes,"<div>As part of the Future Made in Australia Plan, the Australian government is financing a reform of approval and administrative processes necessary for the delivery of the overall Future Made in Australia plan, meant to boost domestic clean energy technology manufacturing.</div>",Announced,2024,National,International Energy Agency,,,https://budget.gov.au/content/bp2/download/bp2_2024-25.pdf,,1717462310493,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Clean Electricity Production Credit and Clean Electricity Investment Credit proposed regulation ,"<div>On May 29 2024, the US Department of the Treasury released proposed guidance on the Inflation Reduction Act (IRA) Clean Electricity Production Credit and the Clean Electricity Investment Credit, which expands the eligibility scope of the schemes beyond solar and wind energy.<br><br>The proposed guidance suggests to include a variety of new sectors and technologies, notably Marine and hydrokinetic energy, hydropower (including retrofit projects aimed at enabling dams to produce electricity), geothermal (including flash and binary plants), nuclear, as well as waste energy recovery . <br><br>Feedback from the energy industry on the proposal is sought until August, and a public hearing is expected to happen on August 12 and 13 for final approval of the proposal. </div>",Announced,2024,National,International Energy Agency,,,https://home.treasury.gov/news/press-releases/jy2376,,1750778186985,"[{""iso3"":""USA"",""name"":""United States""}]",[],"[""Wind"",""Solar PV"",""Geothermal electricity"",""Hydropower (excl. pumped hydro)"",""Marine energy"",""Biomass and renewable waste"",""Advanced fission reactors (incl. fast neutrons)"",""Conventional nuclear fission reactors (incl. lifetime extension)"",""Nuclear fusion reactors""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
[UNDER DISCUSSION] 2025 local content requirements for electricity infrastructure projects,"<div>Indonesia has introduced a minimum local content requirement (i.e. Tingkat Komponen Dalam Negeri - ""TKDN"") of 60% for solar modules starting from January 1, 2025. This is currently in review as the Ministry of Energy and Mineral Resources (ESDM) has proposed a reduction in TKDN requirements for solar module PLTS to 40% to provide flexibility for investors in building such facilities in Indonesia, the proposal has not yet been approved by the government.</div>",Announced,2025,National,International Energy Agency,,,https://www.makarim.com/news/switching-off-local-content-requirements-for-electricity-infrastructure,,1717971374519,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":null}]"
Bill on the Promotion of Domestic Production of Electric and Hybrid Vehicles,"<div>The Argentinian government presented the Bill on the Promotion of Domestic Production of Electric and Hybrid Vehicles to establish a new framework for the promotion of the national manufacturing of electric and hybrid vehicles. The proposal will work as a complement framework for the industrialization of lithium and the production of batteries in the country, providing educational and skills training programmes for those interested in working in the industry. </div>",Announced,2023,National,International Energy Agency,,,https://www.argentina.gob.ar/noticias/el-gobierno-presento-el-proyecto-de-ley-de-promocion-de-produccion-nacional-de-vehiculos,,1718014438847,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],"[""Road vehicles"",""Commercial vehicles""]","[""Government Energy Spending""]","[{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":""Electric light-duty vehicles""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Local content requirements"",""category"":null}]"
EU-Kenya Economic Partnership Agreement,"<div>Negotiations for the Economic Partnership Agreement between the European Union and Kenya concluded in June 2023. The Agreement will come into force following the approval by the European Parliament. <br><br>It provides for the elimination of border tariffs for most energy sector products, including: </div><ul><li>Electric generation equipment </li><li>Mechanical equipment including pumps, appliances, and other advanced machinery</li><li>Electric motors, transformers, batteries, and capacitors</li><li>Motor vehicles</li><li>Mineral ore and processed products including manganese, copper, aluminium, and nickel</li><li>Various products manufactured using above minerals and metals such as sheets, powders, bars, and plates</li><li>Photovoltaic cells </li></ul><div><br>Rules of origin apply, aligning to Regulation (EU) 2016/1076 of the European Parliament. Only products  wholly obtained, produced or which underwent sufficient transformation in one of the signatory countries qualify for preferential tariff treatment. With some exceptions (HS Chapters 50 - 63), non-originating products can benefit from preferential tariff treatment if the value of non-originating materials they incorporate does not exceed 15 % of their ex-works price. </div>",Announced,2023,International,International Energy Agency,18-12-2023,,https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/countries-and-regions/east-african-community-eac/eu-kenya-agreement/text-agreement_en,,1718728697005,"[{""iso3"":""KEN"",""name"":""Kenya""},{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Kuruma Hydroelectricity Power Project,"<div>As part of its 2024/2025 budget, the Government of Uganda is dedicating specific spending for the construction of the Karuma hydroelectric power plant, to be completed in September 2024. The project benefits from co-funding from foreign investors.</div>",Announced,2013,National,International Energy Agency,2013-12-01,,https://infrastructure.go.ug/the-karuma-dam-power-project-will-be-completed-in-september-2024/,,1718986190243,"[{""iso3"":""UGA"",""name"":""Uganda""}]",[],"[""Hydropower (excl. pumped hydro)""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""}]"
EU Commission investigation on new battery electric vehicles for passengers- Pre-disclosure of provisional countervailing duties,"<div>As part of the ex-officio anti-subsidy investigation launched in October 2023, the EU Commission pre-disclosed provisional countervailing duties it would impose on imports of battery electric vehicles from China should discussions with Chinese authorities not lead to an effective solution by 4 July 2024. <br><br>The additional duties would supplement an existing 10% import duty, and were pre-disclosed for 3 sampled Chinese companies as follows:<br><br></div><ul><li>BYD: 17.4%</li><li>Geely: 20%</li><li>SAIC: 38.1% </li></ul><div><br>The new additional duties would apply for all battery electric vehicles imported from China, beyond the 3 sampled Chinese manufacturers. Any company producing in China which would not be part of the final sample may ask for an accelerated review of its particular situation after the implementation of definitive measures.<br><br></div>",Announced,2024,National,International Energy Agency,,,https://tron.trade.ec.europa.eu/investigations/case-view?caseId=2684,,1719847471402,"[{""iso3"":""EUR"",""name"":""European Union""}]",[],"[""Small and medium cars""]",[],"[{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Electric light-duty vehicles""}]"
Government spending for low-carbon power,"<div>As part of its Sustainable Energy Plan, the Israeli government earmarked funding for low-carbon power for 67 million shekel in 2024. </div>",Announced,2024,National,International Energy Agency,,,https://www.gov.il/BlobFolder/news/press_23032023/ar/PressReleases_files_%D7%94%D7%A6%D7%A2%D7%AA%20%D7%97%D7%95%D7%A7%20%D7%9C%D7%A9%D7%A0%D7%AA%20%D7%94%D7%AA%D7%A7%D7%A6%D7%99%D7%91%202024.pdf,,1750778188762,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],"[""Wind offshore"",""Wind onshore"",""Solar PV""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Government spending for charging infrastructures ,"<div>As part of its Sustainable Energy Plan, the Israeli government earmarked funding for just transitions for 68 million shekel in 2024. </div>",Announced,2024,National,International Energy Agency,,,https://www.gov.il/BlobFolder/news/press_23032023/ar/PressReleases_files_%D7%94%D7%A6%D7%A2%D7%AA%20%D7%97%D7%95%D7%A7%20%D7%9C%D7%A9%D7%A0%D7%AA%20%D7%94%D7%AA%D7%A7%D7%A6%D7%99%D7%91%202024.pdf,,1750778189224,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],"[""Electric charging infrastructure"",""Dynamic charging"",""Smart charging""]","[""Government Energy Spending""]","[{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending in charging infrastructure"",""category"":null}]"
US Generalised Scheme of Preferences,"<div>The US Generalised Scheme of Preferences (GSP) provides for non-reciprocal, duty-free treatment to developing countries 1974 from 1976 to 2020. Its renewal is currently being discussed.<br><br>The original GSP covered industrial products across HS sectors 25 through 96 including : <br><br></div><ul><li>Aluminium (o/than alloy), unwrought;</li><li>Lithium primary cells and primary batteries;</li><li>Primary cells and primary batteries;</li><li>Parts of primary cells and primary batteries;</li><li>Other electrical machines and apparatus for electroplating, electrolysis, or electrophoresis;</li><li>Refrigerators, household absorption-type, electrical;</li></ul><div><br>For a product to qualify for GSP preferential tariff treatment, it need to originate from a beneficiary developing country (BDC). Additionally, the combined cost or value of materials from the BDC and the direct processing costs needed to represent at least 35% of the product's appraised value. </div>",Announced,1976,International,International Energy Agency,01-01-1976,,https://www.cbp.gov/trade/priority-issues/trade-agreements/special-trade-legislation/generalized-system-preferences,,1719573470872,"[{""iso3"":""IDN"",""name"":""Indonesia""},{""iso3"":""IRQ"",""name"":""Iraq""},{""iso3"":""JAM"",""name"":""Jamaica""},{""iso3"":""JOR"",""name"":""Jordan""},{""iso3"":""KEN"",""name"":""Kenya""},{""iso3"":""KAZ"",""name"":""Kazakhstan""},{""iso3"":""KIR"",""name"":""Kiribati""},{""iso3"":""KGZ"",""name"":""Kyrgyzstan""},{""iso3"":""LBN"",""name"":""Lebanon""},{""iso3"":""LBR"",""name"":""Liberia""},{""iso3"":""LSO"",""name"":""Lesotho""},{""iso3"":""MKD"",""name"":""Former Yugoslav Republic Of Macedonia""},{""iso3"":""MDG"",""name"":""Madagascar""},{""iso3"":""MWI"",""name"":""Malawi""},{""iso3"":""MLI"",""name"":""Mali""},{""iso3"":""MUS"",""name"":""Mauritius""},{""iso3"":""MRT"",""name"":""Mauritania""},{""iso3"":""MDV"",""name"":""Maldives""},{""iso3"":""MDA"",""name"":""Republic of Moldova""},{""iso3"":""MNG"",""name"":""Mongolia""},{""iso3"":""MNE"",""name"":""Montenegro""},{""iso3"":""NGA"",""name"":""Nigeria""},{""iso3"":""PAK"",""name"":""Pakistan""},{""iso3"":""PNG"",""name"":""Papua New Guinea""},{""iso3"":""PRY"",""name"":""Paraguay""},{""iso3"":""PHL"",""name"":""Philippines""},{""iso3"":""NER"",""name"":""Niger""},{""iso3"":""MOZ"",""name"":""Mozambique""},{""iso3"":""NAM"",""name"":""Namibia""},{""iso3"":""NPL"",""name"":""Nepal""},{""iso3"":""STP"",""name"":""Sao Tome And Principe""},{""iso3"":""SEN"",""name"":""Senegal""},{""iso3"":""SYC"",""name"":""Seychelles""},{""iso3"":""SRB"",""name"":""Serbia""},{""iso3"":""SLE"",""name"":""Sierra Leone""},{""iso3"":""RUS"",""name"":""Russian Federation""},{""iso3"":""RWA"",""name"":""Rwanda""},{""iso3"":""KNA"",""name"":""Saint Kitts And Nevis""},{""iso3"":""LCA"",""name"":""Saint Lucia""},{""iso3"":""VCT"",""name"":""Saint Vincent and the Grenadines""},{""iso3"":""WSM"",""name"":""Samoa""},{""iso3"":""ARM"",""name"":""Armenia""},{""iso3"":""ALB"",""name"":""Albania""},{""iso3"":""DZA"",""name"":""Algeria""},{""iso3"":""AFG"",""name"":""Afghanistan""},{""iso3"":""AGO"",""name"":""Angola""},{""iso3"":""AZE"",""name"":""Azerbaijan""},{""iso3"":""BGD"",""name"":""Bangladesh""},{""iso3"":""BLZ"",""name"":""Belize""},{""iso3"":""BEN"",""name"":""Benin""},{""iso3"":""BTN"",""name"":""Bhutan""},{""iso3"":""CMR"",""name"":""Cameroon""},{""iso3"":""BFA"",""name"":""Burkina Faso""},{""iso3"":""BDI"",""name"":""Burundi""},{""iso3"":""KHM"",""name"":""Cambodia""},{""iso3"":""BRA"",""name"":""Brazil""},{""iso3"":""BIH"",""name"":""Bosnia and Herzegovina""},{""iso3"":""BWA"",""name"":""Botswana""},{""iso3"":""COM"",""name"":""Comoros""},{""iso3"":""COG"",""name"":""Republic of the Congo""},{""iso3"":""COD"",""name"":""Democratic Republic of the Congo""},{""iso3"":""CPV"",""name"":""Cabo Verde""},{""iso3"":""CAF"",""name"":""Central African Republic""},{""iso3"":""TCD"",""name"":""Chad""},{""iso3"":""GAB"",""name"":""Gabon""},{""iso3"":""GEO"",""name"":""Georgia""},{""iso3"":""GHA"",""name"":""Ghana""},{""iso3"":""GRD"",""name"":""Grenada""},{""iso3"":""IND"",""name"":""India""},{""iso3"":""GNB"",""name"":""Guinea-Bissau""},{""iso3"":""GIN"",""name"":""Guinea""},{""iso3"":""GUY"",""name"":""Guyana""},{""iso3"":""HTI"",""name"":""Haiti""},{""iso3"":""ECU"",""name"":""Ecuador""},{""iso3"":""EGY"",""name"":""Egypt""},{""iso3"":""ETH"",""name"":""Ethiopia""},{""iso3"":""FJI"",""name"":""Fiji""},{""iso3"":""ERI"",""name"":""Eritrea""},{""iso3"":""CIV"",""name"":""Cote D'ivoire""},{""iso3"":""DJI"",""name"":""Djibouti""},{""iso3"":""DMA"",""name"":""Dominica""},{""iso3"":""ZMB"",""name"":""Zambia""},{""iso3"":""ZWE"",""name"":""Zimbabwe""},{""iso3"":""YEM"",""name"":""Yemen""},{""iso3"":""UZB"",""name"":""Uzbekistan""},{""iso3"":""URY"",""name"":""Uruguay""},{""iso3"":""VUT"",""name"":""Vanuatu""},{""iso3"":""UGA"",""name"":""Uganda""},{""iso3"":""TUR"",""name"":""Republic of Turkiye""},{""iso3"":""TUN"",""name"":""Tunisia""},{""iso3"":""USA"",""name"":""United States""},{""iso3"":""UKR"",""name"":""Ukraine""},{""iso3"":""TUV"",""name"":""Tuvalu""},{""iso3"":""SLB"",""name"":""Solomon Islands""},{""iso3"":""SOM"",""name"":""Somalia""},{""iso3"":""ZAF"",""name"":""South Africa""},{""iso3"":""SSD"",""name"":""South Sudan""},{""iso3"":""LKA"",""name"":""Sri Lanka""},{""iso3"":""SWZ"",""name"":""Eswatini""},{""iso3"":""SUR"",""name"":""Suriname""},{""iso3"":""TZA"",""name"":""United Republic of Tanzania""},{""iso3"":""TLS"",""name"":""Timor-Leste""},{""iso3"":""TGO"",""name"":""Togo""},{""iso3"":""TKL"",""name"":""Tokelau""},{""iso3"":""TON"",""name"":""Tonga""},{""iso3"":""THA"",""name"":""Thailand""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
